,name_of_artist,name_of_song
0,Drake Featuring 21 Savage,Jimmy Cooks
1,Harry Styles,As It Was
2,Jack Harlow,First Class
3,Future Featuring Drake & Tems,Wait For U
4,Lizzo,About Damn Time
5,Drake,Sticky
6,Drake,Falling Back
7,Joji,Glimpse Of Us
8,Kate Bush,Running Up That Hill (A Deal With God)
9,Glass Animals,Heat Waves
10,Bad Bunny & Chencho Corleone,Me Porto Bonito
11,Latto,Big Energy
12,Drake,Texts Go Green
13,Drake,Massive
14,Beyonce,Break My Soul
15,Bad Bunny,Titi Me Pregunto
16,Morgan Wallen,Wasted On You
17,Luke Combs,The Kind Of Love We Make
18,The Kid LAROI & Justin Bieber,Stay
19,Drake,Calling My Name
20,Drake,A Keeper
21,Post Malone Featuring Doja Cat,I Like You (A Happier Song)
22,Drake,Currents
23,Harry Styles,Late Night Talking
24,Dove Cameron,Boyfriend
25,Justin Bieber,Ghost
26,Em Beihold,Numb Little Bug
27,Drake,Flight's Booked
28,Ed Sheeran,Bad Habits
29,Imagine Dragons X JID,Enemy
30,Doja Cat,Get Into It (Yuh)
31,Bad Bunny,Moscow Mule
32,Nicky Youre & dazy,Sunroof
33,Doja Cat,Woman
34,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
35,Camila Cabello Featuring Ed Sheeran,Bam Bam
36,Lil Nas X,Thats What I Want
37,Kodak Black,Super Gremlin
38,Ed Sheeran,Shivers
39,Karol G,Provenza
40,Morgan Wallen,You Proof
41,Drake,Overdrive
42,Parmalee,Take My Name
43,Megan Thee Stallion & Dua Lipa,Sweetest Pie
44,Bad Bunny,Efecto
45,Kane Brown,Like I Love Country Music
46,Drake,Liability
47,Walker Hayes,AA
48,The Kid LAROI,Thousand Miles
49,Zach Bryan,Something In The Orange
50,Bad Bunny & Rauw Alejandro,Party
51,"Lil Baby, 42 Dugg & Veeze",U-Digg
52,Bad Bunny,Despues de La Playa
53,Jason Aldean,Trouble With A Heartbreak
54,Post Malone Featuring Roddy Ricch,Cooped Up
55,Ed Sheeran Featuring Lil Baby,2step
56,Bad Bunny & Bomba Estereo,Ojitos Lindos
57,Future,Puffin On Zootiez
58,Scotty McCreery,Damn Strait
59,Bailey Zimmerman,Fall In Love
60,Lady Gaga,Hold My Hand
61,Drake,Down Hill
62,Lil Baby,In A Minute
63,Becky G X Karol G,MAMIII
64,SleazyWorld Go Featuring Lil Baby,Sleazy Flow
65,Drake,Tie That Binds
66,Doja Cat,Vegas
67,BTS,Yet To Come
68,Shawn Mendes,When You're Gone
69,Lil Durk Featuring Gunna,What Happened To Virgil
70,Kendrick Lamar & Kodak Black,Silent Hill
71,Bailey Zimmerman,Rock And A Hard Place
72,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator",Cash In Cash Out
73,JNR CHOI & Sam Tompkins,To The Moon!
74,Bad Bunny & Jhay Cortez,Tarot
75,Cole Swindell,She Had Me At Heads Carolina
76,Russell Dickerson & Jake Scott,She Likes It
77,OneRepublic,I Ain't Worried
78,ERNEST Featuring Morgan Wallen,Flower Shops
79,Carrie Underwood,Ghost Story
80,Shakira & Rauw Alejandro,Te Felicito
81,Quavo & Takeoff,Hotel Lobby (Unc And Phew)
82,Harry Styles,Music For A Sushi Restaurant
83,Bad Bunny,Un Ratito
84,Jon Pardi,Last Night Lonely
85,Morgan Wallen,Thought You Should Know
86,Halsey,So Good
87,Tyler Hubbard,5 Foot 9
88,Corey Kent,Wild As Her
89,Lil Baby,Right On
90,Maren Morris,Circles Around This Town
91,Luke Combs,Tomorrow Me
92,Tim McGraw,7500 OBO
93,Sleepy Hallow Featuring 347aidan,Die Young
94,Hitkidd & Glorilla,F.N.F. (Let's Go)
95,Kendrick Lamar,N95
96,Sam Smith,Love Me More
97,Dylan Scott,New Truck
98,Tate McRae,She's All I Wanna Be
99,Rauw Alejandro & Chencho Corleone,Desesperados
